Id,dateTime,hour,day,month,weekday,source,destination,rideshare,rideCategory,price,distance,surgeMultiplier,weather,temperature,precipProbability,humidity,windSpeed,windGust,ozone
668d8,2020-10-11 22:25:00,22,11,10,Sun,North Station,North End,Lyft,Lyft,4.32,1.44,1,partly-cloudy-night,33.38,0,0.59,1.91,3.84,326.4
b9c00,2020-10-26 13:01:00,13,26,10,Mon,Haymarket Square,Beacon Hill,Lyft,Lyft XL,4.32,1.668,1,partly-cloudy-day,37.38,0,0.68,5.85,5.9,345.9
ba990,2020-10-01 00:03:00,0,1,10,Thu,Boston University,Back Bay,Lyft,Lux Black,4.32,1.824,1,cloudy,40.12,0,0.62,3.16,3.51,286.6
c6c01,2020-10-13 20:05:00,20,13,10,Tue,Financial District,Haymarket Square,Lyft,Lyft,4.32,1.512,1,clear-day,52.55,0,0.6,4.71,4.76,300.1
e0860,2020-10-12 00:40:00,0,12,10,Mon,Beacon Hill,Haymarket Square,Lyft,Shared,4.32,1.62,1,cloudy,32.65,0,0.62,2.55,3.52,324.6
9fbe2,2020-10-08 02:13:00,2,8,10,Thu,Haymarket Square,Beacon Hill,Lyft,Lux Black XL,4.32,1.464,1,clear-night,30.45,0,0.55,4.39,5.73,305.2
742b6,2020-10-28 12:52:00,12,28,10,Wed,Haymarket Square,Financial District,Lyft,Lux,4.32,1.2,1,clear-day,30.79,0,0.83,2.44,3.82,277.4
5c6eb,2020-10-11 18:15:00,18,11,10,Sun,West End,North End,Lyft,Shared,4.32,1.272,1,partly-cloudy-day,34.07,0,0.51,2.4,4.17,328.8
70600,2020-10-13 22:05:00,22,13,10,Tue,Haymarket Square,Beacon Hill,Lyft,Lyft,4.32,1.212,1,partly-cloudy-night,48.31,0,0.62,5.21,8.96,297.9
58486,2020-10-14 13:45:00,13,14,10,Wed,Theatre District,North End,Lyft,Lux,4.32,2.076,1,cloudy,43.51,0,0.68,7.19,8.95,319
c0a7f,2020-10-14 00:50:00,0,14,10,Wed,Northeastern University,Theatre District,Lyft,Lux Black,4.32,2.436,1,partly-cloudy-night,45.36,0,0.66,5.41,8.71,296.7
d629d,2020-10-26 13:21:00,13,26,10,Mon,Haymarket Square,Theatre District,Lyft,Lyft XL,4.32,1.5,1,partly-cloudy-day,37.38,0,0.68,5.85,5.9,345.9
75d7c,2020-10-16 01:15:00,1,16,10,Fri,South Station,Theatre District,Lyft,Shared,4.32,1.464,1,partly-cloudy-night,38.85,0,0.67,6.44,11.34,368.5
7cfe3,2020-10-14 19:30:00,19,14,10,Wed,Theatre District,South Station,Lyft,Lyft,4.32,0.708,1,cloudy,44.46,0,0.69,8.05,13.42,320.6
7766d,2020-10-26 16:41:00,16,26,10,Mon,North Station,Haymarket Square,Lyft,Lux,4.32,0.864,1,partly-cloudy-day,42.56,0,0.59,8.26,12.74,349.9
ce004,2020-10-25 10:48:00,10,25,10,Sun,Financial District,South Station,Lyft,Lux Black XL,4.32,0.552,1,rain,46.85,1,0.91,6.8,7.4,294.1
a4130,2020-10-12 23:55:00,23,12,10,Mon,Haymarket Square,North Station,Lyft,Lyft XL,4.32,0.624,1,partly-cloudy-night,42.83,0,0.77,3.66,3.71,288.7
253b5,2020-10-27 11:43:00,11,27,10,Tue,Beacon Hill,South Station,Lyft,Lux Black,4.32,1.8,1,partly-cloudy-night,38.8,0,0.65,8.52,10.52,339.2
1317c,2020-10-25 12:42:00,12,25,10,Sun,Back Bay,South Station,Lyft,Lyft,4.32,1.644,1,rain,47.7,0.94,0.89,4.47,4.52,311.9
4d27e,2020-10-24 22:48:00,22,24,10,Sat,Back Bay,South Station,Lyft,Lyft XL,4.32,1.692,1,rain,46.33,0.42,0.86,6.95,7,293.8
f95b4,2020-10-25 00:06:00,0,25,10,Sun,Fenway,Back Bay,Lyft,Lux,4.32,1.764,1,rain,45.92,1,0.89,8.26,8.38,294.3
139d1,2020-10-25 15:45:00,15,25,10,Sun,Beacon Hill,South Station,Lyft,Shared,4.32,2.808,1,cloudy,41.89,0.15,0.87,10.35,14.75,333.6
cc1bd,2020-10-01 10:52:00,10,1,10,Thu,Theatre District,North End,Lyft,Shared,4.32,2.064,1,cloudy,49.83,0,0.92,2.67,2.72,294.6
cf644,2020-10-25 19:54:00,19,25,10,Sun,Haymarket Square,Theatre District,Lyft,Lux,4.32,1.5,1,partly-cloudy-day,44.35,0,0.7,9.35,13.78,311.5
4aa80,2020-10-01 18:32:00,18,1,10,Thu,Beacon Hill,Haymarket Square,Lyft,Lyft XL,4.32,1.656,1,cloudy,56.02,0,0.49,11.05,13.63,307
dff3b,2020-10-12 04:05:00,4,12,10,Mon,Financial District,Haymarket Square,Lyft,Lux Black XL,4.32,1.2,1,cloudy,32.5,0,0.69,1.59,2.4,308
51bb2,2020-10-13 05:35:00,5,13,10,Tue,Theatre District,Northeastern University,Lyft,Lux Black,4.32,2.58,1,cloudy,46.58,0,0.91,5.31,8.29,295.9
f47b2,2020-10-26 09:37:00,9,26,10,Mon,West End,North End,Lyft,Lyft,4.32,1.284,1,partly-cloudy-night,35.66,0,0.77,4.47,6.98,341.7
23875,2020-10-27 00:05:00,0,27,10,Tue,West End,North End,Lyft,Lyft,4.32,1.26,1,partly-cloudy-night,40.81,0,0.67,8.04,12.19,350.7
9871f,2020-10-12 04:30:00,4,12,10,Mon,Back Bay,Northeastern University,Lyft,Lyft XL,4.32,1.284,1,cloudy,32.5,0,0.69,1.59,2.4,308
afd91,2020-10-07 23:58:00,23,7,10,Wed,Boston University,Theatre District,Lyft,Lux Black XL,4.32,3.588,1,clear-night,31.66,0,0.56,5.33,6.23,302
fa931,2020-10-25 22:54:00,22,25,10,Sun,Theatre District,South Station,Lyft,Lux,4.32,0.768,1,partly-cloudy-night,42.28,0,0.66,8.14,12.33,305.5
1f6e2,2020-10-14 02:20:00,2,14,10,Wed,South Station,Financial District,Lyft,Shared,4.32,0.78,1,partly-cloudy-night,42.27,0,0.68,4.61,5.75,294.5
d0b13,2020-10-14 12:35:00,12,14,10,Wed,North End,North Station,Lyft,Lux Black,4.32,1.344,1,cloudy,42.49,0,0.69,6.68,8.43,317.9
6d34f,2020-10-16 17:05:00,17,16,10,Fri,South Station,Financial District,Lyft,Lux Black,4.32,0.672,1,clear-day,32.18,0,0.38,12.66,22.31,375
b9966,2020-10-01 03:13:00,3,1,10,Thu,West End,Northeastern University,Lyft,Lyft XL,4.32,3.624,1,partly-cloudy-night,36.27,0,0.75,3.26,3.31,288.2
db6a9,2020-10-27 16:58:00,16,27,10,Tue,South Station,North Station,Lyft,Lyft,4.32,2.808,1,partly-cloudy-day,45.31,0,0.5,10.67,19.27,319.3
b4a1b,2020-10-26 11:56:00,11,26,10,Mon,South Station,Theatre District,Lyft,Lux Black XL,4.32,1.428,1,partly-cloudy-night,36.94,0,0.71,5.24,7.18,343.7
6c461,2020-10-26 15:41:00,15,26,10,Mon,Haymarket Square,Theatre District,Lyft,Lux,4.32,1.5,1,partly-cloudy-day,42.64,0,0.58,8.32,12.36,349.8
dc813,2020-10-15 06:40:00,6,15,10,Thu,Beacon Hill,Haymarket Square,Lyft,Shared,4.32,1.656,1,rain,40.59,0.56,0.89,10.09,12.54,328.4
56144,2020-10-27 10:08:00,10,27,10,Tue,Boston University,Theatre District,Lyft,Lux Black,4.32,3.552,1,partly-cloudy-night,39.32,0,0.65,8.04,12.36,339
f923b,2020-10-24 13:05:00,13,24,10,Sat,North Station,Northeastern University,Lyft,Shared,4.32,3.9,1,cloudy,42.83,0.09,0.9,3.33,3.47,295.7
57241,2020-10-28 06:03:00,6,28,10,Wed,Financial District,North End,Lyft,Lyft XL,4.32,1.236,1,clear-night,33.14,0,0.79,3.05,4.11,286.2
9a9c8,2020-10-11 19:30:00,19,11,10,Sun,North End,Back Bay,Lyft,Lux,4.32,3.48,1,partly-cloudy-day,34.25,0,0.54,2.58,3.81,328.7
e1574,2020-10-25 00:12:00,0,25,10,Sun,Haymarket Square,North Station,Lyft,Lux Black XL,4.32,0.684,1,rain,45.92,1,0.89,8.26,8.38,294.3
4b060,2020-10-15 11:15:00,11,15,10,Thu,North End,North Station,Lyft,Lyft,4.32,1.212,1,cloudy,36.27,0.16,0.91,7.3,8.16,324.1
c2d85,2020-10-25 06:27:00,6,25,10,Sun,Haymarket Square,Back Bay,Lyft,Lyft,4.32,2.868,1,rain,44.43,1,0.91,11.55,12.65,284.8
900ac,2020-10-26 11:11:00,11,26,10,Mon,Financial District,Haymarket Square,Lyft,Lux Black XL,4.32,1.224,1,partly-cloudy-night,36.94,0,0.71,5.24,7.18,343.7
ed0a1,2020-10-01 07:28:00,7,1,10,Thu,South Station,Financial District,Lyft,Lux,4.32,0.744,1,cloudy,39.81,0,0.83,2.6,4.82,267.3
d74eb,2020-10-11 21:40:00,21,11,10,Sun,Haymarket Square,North Station,Lyft,Lyft XL,4.32,0.648,1,partly-cloudy-night,34,0,0.56,1.8,3.47,326.8
d56be,2020-10-08 00:53:00,0,8,10,Thu,Northeastern University,Beacon Hill,Lyft,Lux Black,4.32,2.88,1,clear-night,31.08,0,0.56,5.05,5.35,302.3
becc4,2020-10-01 07:08:00,7,1,10,Thu,Haymarket Square,West End,Lyft,Shared,4.32,0.768,1,cloudy,48.67,0,0.93,1.37,1.42,290.6
d118a,2020-10-11 06:35:00,6,11,10,Sun,Beacon Hill,Haymarket Square,Lyft,Lux,4.32,1.536,1,clear-night,20.68,0,0.55,3.53,3.58,323.8
2ef32,2020-10-28 23:08:00,23,28,10,Wed,Haymarket Square,West End,Lyft,Lux Black XL,4.32,0.78,1,cloudy,40.02,0,0.64,3.68,3.73,283.5
6303,2020-10-15 11:15:00,11,15,10,Thu,South Station,Theatre District,Lyft,Lux Black,4.32,1.356,1,cloudy,36.27,0.16,0.91,7.3,8.16,324.1
9184a,2020-10-16 00:45:00,0,16,10,Fri,North End,West End,Lyft,Lyft XL,4.32,1.596,1,partly-cloudy-night,39.37,0,0.68,6.89,11.53,376.8
309f9,2020-10-01 15:22:00,15,1,10,Thu,Boston University,Theatre District,Lyft,Lux Black,4.32,3.576,1,partly-cloudy-day,55.78,0,0.81,5.74,5.85,299
dc6b8,2020-10-25 15:15:00,15,25,10,Sun,North Station,Haymarket Square,Lyft,Lux,4.32,0.9,1,cloudy,41.89,0.15,0.87,10.35,14.75,333.6
367d0,2020-10-25 13:57:00,13,25,10,Sun,West End,Fenway,Lyft,Shared,4.32,3.516,1,rain,46.34,0.61,0.92,5.16,5.21,320.7
0dd4c,2020-10-27 21:32:00,21,27,10,Tue,Theatre District,South Station,Lyft,Lux Black XL,4.32,0.804,1,partly-cloudy-night,43.37,0,0.53,9.93,15.15,303.6
c7fa0,2020-10-25 20:54:00,20,25,10,Sun,Back Bay,Boston University,Lyft,Lyft,4.32,1.752,1,partly-cloudy-day,44.42,0,0.67,9.48,11.72,309.3
a7bdc,2020-10-11 16:25:00,16,11,10,Sun,North End,West End,Lyft,Lyft XL,4.32,1.524,1,partly-cloudy-day,31.86,0,0.54,2.41,3.23,323.9
efcb1,2020-10-11 07:15:00,7,11,10,Sun,Financial District,North End,Lyft,Lyft,4.32,1.524,1,clear-night,20.31,0,0.57,3.09,3.14,324
8fb46,2020-10-28 13:48:00,13,28,10,Wed,Northeastern University,Beacon Hill,Lyft,Shared,4.32,2.928,1,clear-day,33.2,0,0.81,2.03,4.77,275
0d60e,2020-10-24 14:50:00,14,24,10,Sat,Boston University,Back Bay,Lyft,Lux,4.32,1.8,1,rain,44.91,0.57,0.91,2.66,2.71,293.4
cd49b,2020-10-12 05:30:00,5,12,10,Mon,Back Bay,North End,Lyft,Lux Black,4.32,3.636,1,cloudy,32.27,0,0.68,1.88,3.71,303.4
aa9f1,2020-10-11 08:25:00,8,11,10,Sun,West End,Haymarket Square,Lyft,Lyft XL,4.32,0.936,1,clear-night,20.37,0,0.63,3.37,3.42,324.4
1c358,2020-10-02 05:22:00,5,2,10,Fri,Haymarket Square,West End,Lyft,Lux Black XL,4.32,0.78,1,partly-cloudy-night,42.87,0,0.62,7.23,8.98,335
ffd84,2020-10-24 13:41:00,13,24,10,Sat,Financial District,North End,Lyft,Lux Black,4.32,1.524,1,cloudy,42.83,0.09,0.9,3.33,3.47,295.7
aa223,2020-10-07 23:08:00,23,7,10,Wed,Theatre District,South Station,Lyft,Lyft,4.32,0.732,1,clear-night,31.66,0,0.56,5.33,6.23,302
bb432,2020-10-01 13:33:00,13,1,10,Thu,Financial District,South Station,Lyft,Shared,4.32,0.552,1,partly-cloudy-day,37.35,0,0.7,5.99,6.33,277.9
6a0c7,2020-10-27 09:43:00,9,27,10,Tue,Fenway,Beacon Hill,Lyft,Lux,4.32,2.904,1,partly-cloudy-night,39.19,0,0.65,10.56,11.38,339.8
b6edc,2020-10-13 08:40:00,8,13,10,Tue,South Station,Financial District,Lyft,Lux Black XL,4.32,0.804,1,cloudy,48.21,0,0.87,4.64,7.83,294.7
7736f,2020-10-12 12:15:00,12,12,10,Mon,Beacon Hill,North End,Lyft,Lyft XL,4.32,2.532,1,partly-cloudy-night,29.33,0,0.79,2.62,3.69,290.7
9eb8e,2020-10-16 03:25:00,3,16,10,Fri,North Station,Haymarket Square,Lyft,Lyft,4.32,0.864,1,cloudy,38.66,0,0.67,6.6,11.36,363
a2306,2020-10-28 16:02:00,16,28,10,Wed,North Station,North End,Lyft,Lux Black XL,4.32,1.284,1,clear-day,41.53,0,0.6,3.39,4.45,267.8
a2d6b,2020-10-26 10:11:00,10,26,10,Mon,Financial District,North End,Lyft,Shared,4.32,1.224,1,partly-cloudy-night,35.8,0,0.76,4.82,7.72,342.6
5419d,2020-10-11 22:20:00,22,11,10,Sun,Boston University,Back Bay,Lyft,Lux,4.32,1.8,1,partly-cloudy-night,33.38,0,0.59,1.91,3.84,326.4
71be0,2020-10-14 04:10:00,4,14,10,Wed,Financial District,South Station,Lyft,Lux Black,4.32,0.516,1,clear-night,42.1,0,0.67,4.65,5.88,293.9
5ab89,2020-10-12 18:00:00,18,12,10,Mon,Theatre District,South Station,Lyft,Lyft XL,4.32,0.708,1,partly-cloudy-day,47.22,0,0.49,4.5,4.55,286.4
17222,2020-10-26 16:51:00,16,26,10,Mon,Haymarket Square,North Station,Lyft,Shared,4.32,0.624,1,partly-cloudy-day,42.56,0,0.59,8.26,12.74,349.9
094d5,2020-10-13 17:10:00,17,13,10,Tue,Theatre District,South Station,Lyft,Lyft XL,4.32,0.72,1,partly-cloudy-day,54.08,0,0.73,3.54,5.6,297.6
8503e,2020-10-01 15:03:00,15,1,10,Thu,South Station,Financial District,Lyft,Lux Black XL,4.32,0.804,1,partly-cloudy-day,55.78,0,0.81,5.74,5.85,299
0b422,2020-10-28 22:23:00,22,28,10,Wed,North Station,North End,Lyft,Lux,4.32,1.296,1,cloudy,41.53,0,0.58,3.31,3.97,279.7
84337,2020-10-13 21:40:00,21,13,10,Tue,North Station,South Station,Lyft,Lyft,4.32,2.556,1,partly-cloudy-day,51.05,0,0.61,5.37,5.42,300.1
b72ce,2020-10-11 08:00:00,8,11,10,Sun,North End,North Station,Lyft,Lux Black,4.32,1.296,1,clear-night,20.37,0,0.63,3.37,3.42,324.4
4dc0c,2020-10-27 22:08:00,22,27,10,Tue,Financial District,Fenway,Lyft,Lyft,4.32,5.448,1,partly-cloudy-night,41.79,0,0.56,9.16,14.48,298.6
9d6f3,2020-10-13 22:40:00,22,13,10,Tue,Fenway,West End,Lyft,Lux,4.32,3.396,1,partly-cloudy-night,48.31,0,0.62,5.21,8.96,297.9
32012,2020-10-01 11:33:00,11,1,10,Thu,North Station,Northeastern University,Lyft,Lux Black,4.32,3.972,1,rain,41.95,1,0.89,6.59,6.64,271.8
b00e6,2020-10-01 11:37:00,11,1,10,Thu,South Station,Financial District,Lyft,Shared,4.32,0.768,1,rain,41.95,1,0.89,6.59,6.64,271.8
7b1bf,2020-10-16 02:15:00,2,16,10,Fri,Haymarket Square,Financial District,Lyft,Lux Black XL,4.32,1.188,1,partly-cloudy-night,38.46,0,0.67,6.58,11.69,367.2
f0b5b,2020-10-27 01:48:00,1,27,10,Tue,Northeastern University,Beacon Hill,Lyft,Lyft XL,4.32,2.904,1,partly-cloudy-night,39.82,0,0.7,8.34,11.52,347.8
2f177,2020-10-16 12:50:00,12,16,10,Fri,Fenway,Financial District,Lyft,Lux Black XL,4.32,5.196,1,partly-cloudy-night,26.01,0,0.48,14.88,23.94,369.3
1efd1,2020-10-13 16:05:00,16,13,10,Tue,Haymarket Square,West End,Lyft,Lux,4.32,0.768,1,partly-cloudy-day,53.24,0,0.78,3.51,5.28,297.4
69590,2020-10-13 00:25:00,0,13,10,Tue,Financial District,Haymarket Square,Lyft,Shared,4.32,1.224,1,cloudy,43,0,0.79,3.77,3.82,288
c3b2d,2020-10-26 12:47:00,12,26,10,Mon,Beacon Hill,North End,Lyft,Lyft,4.32,1.74,1,partly-cloudy-day,37.93,0,0.69,5.35,6.93,345.4
1c647,2020-10-25 19:18:00,19,25,10,Sun,North End,Beacon Hill,Lyft,Lyft XL,4.32,2.304,1,partly-cloudy-day,44.35,0,0.7,9.35,13.78,311.5
c4067,2020-10-08 02:39:00,2,8,10,Thu,North End,Financial District,Lyft,Lux Black,4.32,1.404,1,clear-night,30.45,0,0.55,4.39,5.73,305.2
0f754,2020-10-27 03:29:00,3,27,10,Tue,Beacon Hill,Haymarket Square,Lyft,Lux Black,4.32,1.644,1,partly-cloudy-night,38.84,0,0.68,9.07,9.12,345.6
55c1a,2020-10-14 14:40:00,14,14,10,Wed,North End,Financial District,Lyft,Lux Black XL,4.32,1.296,1,cloudy,43.61,0,0.69,7.05,9.46,319.9
6f5e1,2020-10-01 05:57:00,5,1,10,Thu,Back Bay,Boston University,Lyft,Lux,4.32,1.752,1,partly-cloudy-night,36.02,0,0.75,2.52,2.57,287.5
ac2ff,2020-10-26 15:56:00,15,26,10,Mon,North End,Beacon Hill,Lyft,Lyft XL,4.32,2.328,1,partly-cloudy-day,42.64,0,0.58,8.32,12.36,349.8
b8ef1,2020-10-12 00:00:00,0,12,10,Mon,Theatre District,South Station,Lyft,Lux Black XL,4.32,0.756,1,cloudy,32.65,0,0.62,2.55,3.52,324.6
48551,2020-10-25 00:17:00,0,25,10,Sun,North Station,Fenway,Lyft,Lux Black XL,4.32,3.78,1,rain,45.92,1,0.89,8.26,8.38,294.3
b5239,2020-10-13 06:15:00,6,13,10,Tue,Haymarket Square,Beacon Hill,Lyft,Shared,4.32,1.404,1,cloudy,47.24,0,0.9,5.45,7.31,296.2
ea790,2020-10-26 19:20:00,19,26,10,Mon,Fenway,Back Bay,Lyft,Lyft,4.32,1.776,1,cloudy,42.87,0,0.61,9.47,14.84,352.1
8f73d,2020-10-27 01:11:00,1,27,10,Tue,Haymarket Square,North Station,Lyft,Lyft XL,4.32,0.636,1,partly-cloudy-night,39.82,0,0.7,8.34,11.52,347.8
f5fdf,2020-10-16 16:45:00,16,16,10,Fri,Beacon Hill,South Station,Lyft,Lux Black,4.32,1.668,1,partly-cloudy-day,29.98,0,0.42,12.77,22.43,376.6
ac7de,2020-10-25 10:39:00,10,25,10,Sun,Theatre District,South Station,Lyft,Lux,4.32,0.744,1,rain,46.85,1,0.91,6.8,7.4,294.1
0447a,2020-10-27 15:23:00,15,27,10,Tue,Haymarket Square,West End,Lyft,Lyft XL,4.32,0.768,1,partly-cloudy-day,44.4,0,0.52,10.65,14.2,324.7
1ab31,2020-10-14 12:20:00,12,14,10,Wed,South Station,Theatre District,Lyft,Lux Black,4.32,1.32,1,cloudy,42.49,0,0.69,6.68,8.43,317.9
fd9af,2020-10-12 16:25:00,16,12,10,Mon,Theatre District,Haymarket Square,Lyft,Shared,4.32,2.088,1,clear-day,44.4,0,0.56,3.42,3.47,289
b3621,2020-10-25 02:42:00,2,25,10,Sun,Financial District,North End,Lyft,Lyft,4.32,1.476,1,rain,44.98,1,0.92,11.91,11.96,289
9825,2020-10-25 13:09:00,13,25,10,Sun,South Station,Theatre District,Lyft,Lux Black XL,4.32,1.392,1,rain,46.34,0.61,0.92,5.16,5.21,320.7
89280,2020-10-24 14:05:00,14,24,10,Sat,Theatre District,South Station,Lyft,Lux,4.32,0.792,1,rain,44.91,0.57,0.91,2.66,2.71,293.4
885f9,2020-10-14 16:00:00,16,14,10,Wed,West End,Fenway,Lyft,Shared,4.32,3.564,1,cloudy,43.82,0.29,0.73,7.34,8.52,324.6
a9770,2020-10-01 21:18:00,21,1,10,Thu,North Station,North End,Lyft,Lux Black XL,4.32,1.296,1,partly-cloudy-night,51.83,0,0.48,7.14,10.31,315.8
ac738,2020-10-15 01:00:00,1,15,10,Thu,Financial District,South Station,Lyft,Lyft,4.32,0.528,1,rain,42.01,1,0.89,8.61,11.8,322.9
4b78f,2020-10-01 07:43:00,7,1,10,Thu,South Station,Beacon Hill,Lyft,Lyft XL,4.32,3.144,1,cloudy,48.67,0,0.93,1.37,1.42,290.6
e5bb5,2020-10-28 12:58:00,12,28,10,Wed,North End,North Station,Lyft,Lux,4.32,1.296,1,clear-day,30.79,0,0.83,2.44,3.82,277.4
3a6d8,2020-10-25 00:09:00,0,25,10,Sun,Haymarket Square,West End,Lyft,Lux Black,4.32,0.768,1,rain,45.92,1,0.89,8.26,8.38,294.3
7.00E+12,2020-10-15 14:25:00,14,15,10,Thu,Haymarket Square,Theatre District,Lyft,Lux Black XL,4.32,1.488,1,cloudy,37.85,0.09,0.86,6.72,8.71,323.9
02b2c,2020-10-25 17:30:00,17,25,10,Sun,Back Bay,Boston University,Lyft,Shared,4.32,1.8,1,cloudy,42.74,0,0.76,11.85,15.16,321.8
20ced,2020-10-01 11:23:00,11,1,10,Thu,South Station,Financial District,Lyft,Lux,4.32,0.78,1,partly-cloudy-night,33.71,0,0.77,4.17,4.73,279.3
5b840,2020-10-01 20:32:00,20,1,10,Thu,Beacon Hill,Northeastern University,Lyft,Lyft XL,4.32,3,1,rain,51.1,0.59,0.94,2.79,2.84,280.6
02d06,2020-10-01 03:13:00,3,1,10,Thu,Haymarket Square,Beacon Hill,Lyft,Lux Black,4.32,1.212,1,partly-cloudy-night,36.27,0,0.75,3.26,3.31,288.2
871ec,2020-10-24 18:17:00,18,24,10,Sat,North Station,Fenway,Lyft,Lyft,4.32,3.852,1,cloudy,46.86,0.03,0.84,5.58,6.55,291.9
258be,2020-10-08 02:28:00,2,8,10,Thu,West End,North End,Lyft,Lux,4.32,1.296,1,clear-night,30.45,0,0.55,4.39,5.73,305.2
ace6f,2020-10-01 23:02:00,23,1,10,Thu,Back Bay,North End,Lyft,Shared,4.32,2.952,1,clear-night,48.65,0,0.55,5.61,8.14,318.5
0d87a,2020-10-16 03:05:00,3,16,10,Fri,Beacon Hill,Haymarket Square,Lyft,Lyft XL,4.32,1.656,1,cloudy,38.66,0,0.67,6.6,11.36,363
8738d,2020-10-11 14:10:00,14,11,10,Sun,Theatre District,South Station,Lyft,Lux Black XL,4.32,0.744,1,partly-cloudy-day,26.95,0,0.57,3.04,4.2,325.4
23317,2020-10-01 02:48:00,2,1,10,Thu,Financial District,Haymarket Square,Lyft,Lux Black,4.32,1.2,1,partly-cloudy-night,37.9,0,0.8,1.85,2.36,272
f886b,2020-10-01 11:28:00,11,1,10,Thu,Northeastern University,Theatre District,Lyft,Lyft,4.32,3.096,1,cloudy,49.27,0,0.91,2.7,4.52,298.4
2d85b,2020-10-01 02:43:00,2,1,10,Thu,North Station,Haymarket Square,Lyft,Lux Black XL,4.32,0.864,1,cloudy,38.29,0,0.69,3.34,4.56,288.4
72306,2020-10-25 13:39:00,13,25,10,Sun,Haymarket Square,Financial District,Lyft,Lux Black,4.32,1.284,1,rain,46.34,0.61,0.92,5.16,5.21,320.7
dee9a,2020-10-01 15:12:00,15,1,10,Thu,West End,Haymarket Square,Lyft,Shared,4.32,0.888,1,partly-cloudy-day,55.78,0,0.81,5.74,5.85,299
68c19,2020-10-25 00:09:00,0,25,10,Sun,South Station,West End,Lyft,Lyft,4.32,2.064,1,rain,45.92,1,0.89,8.26,8.38,294.3
0ec08,2020-10-26 18:59:00,18,26,10,Mon,West End,North End,Lyft,Lux,4.32,1.236,1,cloudy,42.32,0,0.62,9.14,15.01,351
485ab,2020-10-12 03:20:00,3,12,10,Mon,Financial District,North End,Lyft,Lyft XL,4.32,1.188,1,cloudy,32.97,0,0.67,1.28,1.99,314.2
059be,2020-10-01 01:03:00,1,1,10,Thu,Beacon Hill,Fenway,Lyft,Lyft XL,4.32,2.832,1,cloudy,49.33,0,0.93,2.63,3.6,286
7007a,2020-10-28 17:43:00,17,28,10,Wed,South Station,Back Bay,Lyft,Lyft,4.32,2.568,1,partly-cloudy-day,42.86,0,0.55,3.5,4.25,269.6
17448,2020-10-15 13:45:00,13,15,10,Thu,West End,Haymarket Square,Lyft,Shared,4.32,0.84,1,cloudy,36.59,0,0.87,7.81,8.45,323.2
61979,2020-10-01 03:03:00,3,1,10,Thu,Haymarket Square,Financial District,Lyft,Lux Black,4.32,0.972,1,partly-cloudy-night,38.51,0,0.82,1.64,2.76,271.1
cd93e,2020-10-26 19:56:00,19,26,10,Mon,West End,Haymarket Square,Lyft,Lux Black XL,4.32,0.912,1,cloudy,42.87,0,0.61,9.47,14.84,352.1
dd36d,2020-10-26 19:53:00,19,26,10,Mon,Back Bay,Boston University,Lyft,Lux,4.32,1.728,1,cloudy,42.87,0,0.61,9.47,14.84,352.1
b3e49,2020-10-01 16:28:00,16,1,10,Thu,North End,Back Bay,Lyft,Shared,4.32,3.36,1,rain,47.92,1,0.92,6.62,6.67,275.5
2a2df,2020-10-14 15:20:00,15,14,10,Wed,Back Bay,Fenway,Lyft,Lux,4.32,1.716,1,cloudy,43.65,0,0.72,7.79,8.17,322.1
